online_ride_id,type,cycle_brand,beginning_location,beginning_id,finish_location,finish_id,beginning_lat,beginning_lng,finish_lat,finish_lng,user_status,beginning_date,beginning_time,finish_date,finish_time,ride_duration,season,minutes_price,charge_percent,customer_id,first_name,last_name,email,birth_date,gender,bank_account,bank_name,payment_date,payment_amount
F96D5A74A3E413991,electric,brand3,Lincoln Ave & Fullerton Ave,TA1309000058,Hampden Ct & Diversey Ave,202480,41.92,-87.65,41.93,-87.64,member,1/21/2023,20:05:00,1/21/2023,20:16:00,11,Winter,0.05,0.9,1,Jackson,Garcia,JacksonGarcia@gmail.com,6/6/1991,male,4.47E+15,Wells Fargo,3/24/2023,0.81
13CB7EB698CEDB882,classic,brand4,Kimbark Ave & 53rd St,TA1309000037,Greenwood Ave & 47th St,TA1308000002,41.8,-87.59,41.81,-87.6,member,1/10/2023,15:37:00,1/10/2023,15:46:00,8,Winter,0.05,1,2,Mason,Walker,MasonWalker@gmail.com,4/20/1977,male,3.47E+15,Citibank,2/18/2023,0.55
BD88A2E670661CE53,electric,brand1,Western Ave & Lunt Ave,RP-005,Valli Produce - Evanston Plaza,599,42.01,-87.69,42.04,-87.7,non-member,1/2/2023,7:51:00,1/2/2023,8:05:00,13,Winter,0.05,0.9,3,Ava,Clark,AvaClark@gmail.com,2/8/1985,female,9.48E+15,JPMorgan Chase,3/4/2023,0.81
C90792D034FED9684,classic,brand2,Kimbark Ave & 53rd St,TA1309000037,Greenwood Ave & 47th St,TA1308000002,41.8,-87.59,41.81,-87.6,member,1/22/2023,10:52:00,1/22/2023,11:01:00,9,Winter,0.05,0.9,4,Jack,Thompson,JackThompson@gmail.com,7/27/1977,male,1.14E+15,Wells Fargo,10/9/2023,0.9
3397017529188E8A5,classic,brand3,Kimbark Ave & 53rd St,TA1309000037,Greenwood Ave & 47th St,TA1308000002,41.8,-87.59,41.81,-87.6,member,1/12/2023,13:58:00,1/12/2023,14:13:00,15,Winter,0.05,0.9,5,Jackson,Thompson,JacksonThompson@gmail.com,7/7/1975,male,1.53E+15,Citibank,4/19/2023,1.08
58E68156DAE3E3116,electric,brand4,Lakeview Ave & Fullerton Pkwy,TA1309000019,Hampden Ct & Diversey Ave,202480,41.93,-87.64,41.93,-87.64,member,1/31/2023,7:18:00,1/31/2023,7:21:00,3,Winter,0.05,1,6,Emma,Clark,EmmaClark@gmail.com,12/8/1983,female,8.92E+15,JPMorgan Chase,10/24/2023,0.35
2F7194B6012A98D47,electric,brand1,Kimbark Ave & 53rd St,TA1309000037,Greenwood Ave & 47th St,TA1308000002,41.8,-87.59,41.81,-87.6,member,1/15/2023,21:18:00,1/15/2023,21:32:00,14,Winter,0.07,1,7,Ava,Smith,AvaSmith@gmail.com,3/27/1976,female,2.42E+15,Bank of America,3/15/2023,0
DB1CF84154D6A0498,classic,brand2,Kimbark Ave & 53rd St,TA1309000037,Greenwood Ave & 47th St,TA1308000002,41.8,-87.59,41.81,-87.6,member,1/25/2023,10:49:00,1/25/2023,10:58:00,9,Winter,0.05,1,8,Jack,Robinson,JackRobinson@gmail.com,8/23/1956,male,8.79E+14,Citibank,11/14/2023,0.5
34EAB943F88C4C5D9,electric,brand3,Kimbark Ave & 53rd St,TA1309000037,Greenwood Ave & 47th St,TA1308000002,41.8,-87.59,41.81,-87.6,member,1/25/2023,20:49:00,1/25/2023,21:02:00,12,Winter,0.07,1,9,Mason,Jones,MasonJones@gmail.com,9/26/1995,male,3.40E+15,Bank of America,9/3/2023,0.28
BC8AB1AA51DA911510,classic,brand4,Kimbark Ave & 53rd St,TA1309000037,Greenwood Ave & 47th St,TA1308000002,41.8,-87.59,41.81,-87.6,member,1/6/2023,16:37:00,1/6/2023,16:49:00,13,Winter,0.07,1,10,Aiden,Lee,AidenLee@gmail.com,2/19/1996,male,7.80E+15,Bank of America,2/20/2023,0.07
CBE4D3954EB194B711,classic,brand1,Kimbark Ave & 53rd St,TA1309000037,Greenwood Ave & 47th St,TA1308000002,41.8,-87.59,41.81,-87.6,member,1/5/2023,17:31:00,1/5/2023,17:41:00,10,Winter,0.05,0.8,11,Liam,Williams,LiamWilliams@gmail.com,2/20/1969,male,4.35E+15,Wells Fargo,3/2/2023,1.48
367CD42F8488049112,classic,brand2,Kimbark Ave & 53rd St,TA1309000037,Greenwood Ave & 47th St,TA1308000002,41.8,-87.59,41.81,-87.6,member,1/3/2023,17:32:00,1/3/2023,17:41:00,9,Winter,0.07,1,12,Jackson,Rodriguez,JacksonRodriguez@gmail.com,3/15/1989,male,6.91E+15,Wells Fargo,3/16/2023,0.49
F3344545150C322213,electric,brand3,Broadway & Waveland Ave,13325,Hampden Ct & Diversey Ave,202480,41.95,-87.65,41.93,-87.64,member,1/9/2023,19:11:00,1/9/2023,19:19:00,8,Winter,0.05,0.9,13,Ethan,Martinez,EthanMartinez@gmail.com,6/18/1948,male,3.85E+15,HSBC,1/10/2023,1.305
9DC70E5EE9D6A93F14,electric,brand4,Broadway & Waveland Ave,13325,Hampden Ct & Diversey Ave,202480,41.95,-87.65,41.93,-87.64,non-member,1/3/2023,20:25:00,1/3/2023,20:35:00,10,Winter,0.05,0.9,14,Oliver,Young,OliverYoung@gmail.com,12/10/1946,male,6.30E+15,Bank of America,3/17/2023,0.855
0894DBBB4FA509E515,electric,brand1,Lincoln Park Conservatory,LP-,Hampden Ct & Diversey Ave,202480,41.92,-87.64,41.93,-87.64,member,1/12/2023,22:12:00,1/12/2023,22:17:00,5,Winter,0.05,0.9,15,Oliver,Thompson,OliverThompson@gmail.com,5/31/1967,male,5.14E+15,JPMorgan Chase,10/24/2023,1.215
1E27A12D6C9A7C6016,classic,brand2,Clark St & Columbia Ave,RP-008,Warren Park West,RP-001,42,-87.67,42,-87.69,member,1/9/2023,21:09:00,1/9/2023,21:16:00,7,Winter,0.05,0.9,16,Alexander,Martinez,AlexanderMartinez@gmail.com,10/22/2008,male,5.73E+15,Bank of America,10/3/2023,0.72
0B19B6A808BFE53917,electric,brand3,Lakeview Ave & Fullerton Pkwy,TA1309000019,Hampden Ct & Diversey Ave,202480,41.93,-87.64,41.93,-87.64,member,1/21/2023,9:13:00,1/21/2023,9:16:00,2,Winter,0.05,0.9,17,Jack,Walker,JackWalker@gmail.com,11/3/1954,male,5.28E+14,Citibank,4/30/2023,1.035
